Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist,angular_distance_from_cluster_center_2,Linear_distance_from_cluster_center,Star_Count
0,203.665,-15.4145,20.8628,25.9616,251.771,-45.8503,6.91506,0.0128946,-0.0197319,-1,0.00186471,24.1406,29.9963,Gaia DR3 5940106007092376576,251.7705277,-45.85010363,0.001,0,89,1.63615E+18,5.94011E+18,1788782597,1.3196,0.3195,,,,,,,,,0.0954,,,,,,,,,,92,0,92,0,5.5041,180.59,1.362,6.5608,3,FALSE,,,,,,,,,11,6,2.960269,12,0.04368,165.9,0,50,,0,93,954.74772,6.93262,137.718,18.237646,0.008351,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,251.7705277,-45.85010363,1.319562,0.319546,0.0954,1.370647,0.007137423,0.498285636,11
0,44.9098,16.9042,13.5434,14.421,251.784,-45.8379,2.11798,1.99794,-4.68492,-1,0.943323,1.92634,19.9617,Gaia DR3 5940199873591623040,251.7830735,-45.83813049,0,0,108,1.63615E+18,5.9402E+18,1671333391,0.2633,0.2008,0.379,0.2962,1.2794,2.737,-0.483,0.384,-2.694,0.323,-0.2049,-0.0583,-0.453,0.0712,-0.1125,0.1272,-0.5758,-0.1749,0.144,-0.2926,341,0,340,1,110.6608,19837,2.354,744.66,31,FALSE,1.432,,,,,,,,42,18,0.583581,44,0.071,25.69,5,0,7.553,0,333,10027.38853,21.8642,458.621,15.684398,0.003633,37,4215.46,14.1875,297.124,16.27643,0.004598,37,9177.84,24.2794,378.01,14.841044,0.004747,1.336,0,37,0,37,0,1.435386,0.592032,0.843353,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999997,6038.6,6020.1,6067.8,4.4946,4.4854,4.4985,-1.4625,-1.4865,-1.4337,695.2728,689.2314,706.5607,1.6884,1.6776,1.7056,1.3614,1.3522,1.376,0.7544,0.7492,0.7625,A,251.7830766,-45.83811851,6.260557,5.290026,-0.2884,2.461444,0.008348594,0.582841259,12
0,46.7073,223.827,10.0775,22.9995,251.789,-45.8476,1.55467,1.19277,-6.61511,-1,0.767219,-76.3706,3.35187,Gaia DR3 5940106041460467456,251.7890843,-45.84714684,0,0,116,1.63615E+18,5.94011E+18,1105352396,0.0532,0.0417,0.287,0.0611,4.701,4.353,-2.248,0.077,-3.728,0.067,-0.3073,-0.1301,-0.4079,0.2069,-0.1395,0.255,-0.6033,-0.1362,0.1141,-0.3716,337,0,337,0,-1.5036,4703.1,0.457,148.38,31,FALSE,1.133,,,,,,,,39,19,0.122022,41,0.02712,98.34,0,0,0.941,0,341,87075.28986,98.3573,885.296,13.337629,0.003016,38,2238.72,20.8538,107.353,16.963545,0.010492,39,153725,489.401,314.108,11.781035,0.005122,1.791,0,31,0,3,0,5.182509,3.625916,1.556594,79.16,7.01,1,8,0,7,27.044,14.075,0,559.047,47.04,3900,1.5,-2,111,,,,,,,,NOT_AVAILABLE,0,0,1,3960.6,3949.9,3980.2,0.4256,0.4049,0.4645,-1.15,-1.1502,-1.1497,1220.0238,1198.627,1269.8339,9.9629,9.6732,9.9975,5.9396,5.7923,5.95,3.4838,3.3866,3.4919,MARCS,251.7890986,-45.84713027,1.254369,1.102039,-0.3749,1.641085,0.008624563,0.602107539,13
0,65.0432,116.469,28.6933,28.7706,251.759,-45.8529,1.71714,0.685269,-5.42184,-1,0.399075,42.5484,15.8595,Gaia DR3 5940106763006614016,251.7584246,-45.85299094,0,0,75,1.63615E+18,5.94011E+18,104673233,0.2974,0.1438,0.3239,0.2369,1.367,4.466,-2.317,0.505,-3.818,0.263,0.4694,0.1221,-0.7512,-0.55,0.0846,-0.5199,-0.7026,-0.2722,-0.0983,0.6082,281,0,277,4,-0.9489,356.79,0.672,2.9632,95,FALSE,,1.0998,0.0427,-0.192,-0.048,0.197,0.113,0.103,33,13,0.779996,34,0.03511,26.29,1,0,0.958,0,278,856.03035,1.72282,496.878,18.356144,0.003517,2,45.1485,3.93705,11.4676,21.201933,0.09472,4,2204.22,58.3446,37.7793,16.38976,0.028986,2.628,0,2,0,4,0,4.812174,2.845789,1.966385,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999999,,,,,,,,,,,,,,,,,,,,,,,251.7584394,-45.85297397,8.307922,4.309694,0.6143,1.484889,0.009356915,0.65323527,14
0,24.5153,214.676,20.8709,11.5413,251.772,-45.8343,8.05446,0.860921,-5.63707,-1,0.106887,-6.79183,12.164,Gaia DR3 5940106041453078912,251.7721339,-45.83435784,0.004,0.001,69,1.63615E+18,5.94011E+18,1030177684,4.1743,1.9952,,,,,,,,,0.7404,,,,,,,,,,63,0,63,0,2.6971,91.264,4.404,1.7768,3,FALSE,,,,,,,,,8,8,22.658049,8,0.2046,69.64,0,0,,0,62,86.93956,1.3493,64.4329,20.839323,0.017074,4,53.53,17.3427,3.08661,21.01705,0.351768,6,140.997,18.1459,7.77018,19.374874,0.139782,2.237,0,0,0,0,1,1.642176,0.177727,1.464449,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,6.00E-06,3.00E-06,0.999266,,,,,,,,,,,,,,,,,,,,,,,251.7721339,-45.83435784,4.174279,1.995154,0.7404,0.386612,0.009677314,0.675603333,15
0,19.7513,-7.16791,38.162,13.3445,251.745,-45.8352,1.63063,0.0274178,0.0171648,-1,0.0168142,-1.33416,14.231,Gaia DR3 5940106827422734208,251.7436713,-45.83599204,0,0,104,1.63615E+18,5.94011E+18,208666995,0.065,0.048,0.5396,0.0763,7.0679,7.915,-4.865,0.092,-6.243,0.077,-0.1664,-0.0742,-0.3621,0.0615,-0.1094,0.0924,-0.4884,-0.0528,0.1051,-0.2192,397,0,396,1,0.3297,418.68,0.115,0.42492,31,FALSE,1.355,,,,,,,,46,19,0.135567,47,0.0148,83.08,0,0,1.011,0,401,2583.67808,1.68545,1532.93,17.15677,0.002845,42,783.367,7.433,105.39,18.103628,0.010673,40,2587.86,6.14722,420.98,16.215544,0.004576,1.305,0,0,0,1,0,1.888084,0.946857,0.941227,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999997,5598.6,5470.4,5666.4,4.5949,4.5748,4.6219,-1.0344,-1.1332,-0.9669,794.1365,746.5756,824.9133,2.6155,2.5386,2.6578,1.9999,1.9339,2.0356,1.1063,1.0681,1.1271,MARCS,251.7437023,-45.83596429,1.495684,1.26372,-0.2178,4.373762,0.009745363,0.680354026,16
0,36.3579,252.211,27.1017,11.1959,251.763,-45.8335,0.88981,0.809152,-5.57423,-1,0.909354,59.8702,12.4828,Gaia DR3 5940106793069534976,251.7630681,-45.83377292,0,0,91,1.63615E+18,5.94011E+18,1739142143,0.2302,0.1526,-0.6084,0.2602,-2.3386,4.075,-1.359,0.333,-3.841,0.245,-0.0092,-0.0529,-0.3218,-0.0246,-0.0465,-0.0134,-0.4664,-0.1388,0.022,-0.0298,351,0,351,0,-0.4952,411.12,0.647,1.4115,95,FALSE,,1.1355,0.0493,0.033,0.103,0.072,-0.07,-0.055,42,19,0.468626,45,0.02381,68.27,0,0,0.98,0,311,502.30515,1.3804,363.883,18.934948,0.004061,20,39.4093,8.66903,4.54599,21.349546,0.23885,37,901.579,16.3487,55.1469,17.360386,0.020048,1.873,0,0,0,0,1,3.989161,2.414598,1.574562,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,1,,,,,,,,,,,,,,,,,,,,,,,251.7630767,-45.83375585,5.406567,3.99403,-0.0273,0.997363,0.010101075,0.70518737,17
0,24.6852,87.4165,34.5866,29.1319,251.749,-45.853,1.34097,1.0106,-5.2918,-1,0.753637,10.7555,1.48421,Gaia DR3 5940106659927602944,251.7482698,-45.85290974,0,0,102,1.63615E+18,5.94011E+18,1660579906,0.3039,0.2292,-0.0376,0.3537,-0.1063,4.744,-2.123,0.402,-4.243,0.341,-0.1219,-0.1493,-0.2198,0.0887,-0.1989,0.186,-0.5039,-0.2746,0.2016,-0.2574,268,0,266,2,2.9554,379.4,1.171,3.1492,95,FALSE,,1.2014,0.0678,0.054,-0.008,0.083,-0.15,-0.037,32,17,0.604799,32,0.04259,91.14,0,0,1.131,0,265,397.74136,1.28888,308.595,19.188364,0.004469,13,28.7323,6.90026,4.16395,21.692616,0.260762,27,627.417,8.20159,76.4995,17.754004,0.014687,1.65,0,2,0,1,1,3.938612,2.504251,1.434361,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999999,,,,,,,,,,,,,,,,,,,,,,,251.7482833,-45.85289088,6.512464,5.574632,-0.2609,1.842466,0.010188755,0.71130861,18
0,18.4501,37.9028,21.9987,10.8863,251.771,-45.8335,1.68369,1.68361,-5.6726,-1,0.999951,-80.3414,11.6482,Gaia DR3 5940106797351177472,251.7705011,-45.83331733,0,0,108,1.63615E+18,5.94011E+18,965569690,0.0751,0.0542,0.3343,0.0868,3.8509,2.186,0.939,0.102,-1.974,0.086,-0.2427,-0.1864,-0.3704,0.1062,-0.0218,0.1312,-0.4887,-0.0074,0.0529,-0.2562,377,0,374,3,1.2002,421.21,0.167,0.76172,31,FALSE,1.328,,,,,,,,44,19,0.152519,46,0.01974,90.36,1,0,1.044,0,378,2318.03786,1.7629,1314.9,17.274565,0.002876,44,624.374,5.70588,109.427,18.34993,0.010307,41,2680.33,18.6134,144,16.177425,0.008434,1.426,0,44,0,41,0,2.172504,1.075365,1.097139,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999999,,,,,,,,,,,,,,,,,,,,,,,251.7704952,-45.83330855,1.657257,1.402543,-0.2569,1.404732,0.010379496,0.724624871,19
0,30.3715,135.335,12.6403,27.881,251.784,-45.8529,2.44566,0.588609,-5.44415,-1,0.240675,53.4521,5.60801,Gaia DR3 5940106037155292672,251.7831573,-45.85236117,0.001,0,79,1.63615E+18,5.94011E+18,59674982,0.6654,0.4082,1.7902,0.663,2.6999,5.779,-2.613,0.876,-5.154,0.651,0.2145,0.0683,-0.5078,-0.1364,0.0956,-0.1678,-0.4165,-0.3213,-0.0464,0.1758,246,0,246,0,5.9577,439.24,2.522,6.3303,95,FALSE,,1.1818,0.1311,-0.061,0.014,0.063,-0.015,-0.085,29,17,1.301422,33,0.05216,101.3,0,0,1.282,0,244,187.98925,1.01474,185.259,20.002035,0.006476,13,27.5747,5.75282,4.79325,21.737265,0.226531,27,291.404,9.78793,29.7717,18.586658,0.036664,1.697,0,0,0,0,1,3.150606,1.735229,1.415377,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.999998,,,,,,,,,,,,,,,,,,,,,,,251.783174,-45.85233827,14.369083,10.584625,0.1816,2.86562,0.011207505,0.782430745,20
