Ch.,B,A,x0,y0,Ra_1,Dec_1,FWHMx,FWHMy,Mag_1,Beta,r,Angle,RMSE,main_id,ra_x,dec_x,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx_1,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B_x,V,R_x,J,H,K,u,g,r_xa,i,z,angDist,Ra_2,Dec_2,Mag_2,ABS_Mag,luminosity,Mass,Plx_2,PM,RV,plx_in_arsec,distnace_from_earth,Separation,plx_arsec,distance_from_earth,TV,True_Velocity,velocity_dispersion,Log(Velocity Dispersion),L_size,Log(L_size),Log(Mass),average VD
1,47.4935,125.177,306.693,430.177,251.759,-45.8614,23.7209,16.1779,-11.7775,-1,0.682008,-32.5472,36.5794,Gaia DR3 5940106659935749632,251.7591564,-45.860983,0,0,90,*,2,16 47 02.19754,-45 51 39.5388,A,2020yCat.1350....0G,Star,*,,,,,,,0.4466,0.0651,-2.034,-3.791,0.081,0.066,90,,,,,,,,,,,,,,,1.551978,,,,,,,,,,,,,4.47E-04,2239.14017,,,,,,,,
1,86.6241,94.4329,233.251,313.535,251.77,-45.85,37.2998,7.71099,-11.2983,-1,0.20673,-44.0336,36.1499,Cl* Westerlund    1      W      19,251.7702802,-45.84980442,0,0,90,s*b,19,16 47 04.86725,-45 50 59.2959,A,2020yCat.1350....0G,BlueSG,*|C*?|LP?|NIR|s*b|V*,,,,,B1Ia,,,,-2.499,-3.897,0.106,0.088,90,,,,22.6,18.784,15.366,8.993,7.956,,,,,,,0.983231,251.77,-45.85,-11.2983,-24.30859975,4.52E+11,2138.580907,,,,,,0.9832312,,,,,,,,,3.330125685,
1,50.1324,230.811,96.0744,283.436,251.789,-45.8471,10.7188,9.65887,-11.201,-1,0.901117,1.19582,29.4545,Cl* Westerlund    1      W      70,251.7890986,-45.84713027,0,0,90,s*b,19,16 47 09.38367,-45 50 49.6690,A,2020yCat.1350....0G,BlueSG,*|MIR|NIR|s*b|V*,-42.86,0.38,-1.43E-04,1.30E-06,B3Ia,,0.287,0.0611,-2.248,-3.728,0.077,0.067,90,,,,21.2,16.88,14.1,8.287,7.25,6.703,,,,,,0.267892,251.789,-45.8471,-11.201,-24.21130017,4.14E+11,2084.518404,0.287,4.353,79.16,2.87E-04,3484.3206,0.267891728,2.87E-04,3484.320557,71.89275784,83.69915309,4.926308353,0.692521592,44.02771252,1.643726122,3.319005734,
1,93.1673,127.382,247.223,336.313,251.768,-45.8523,14.5388,8.67285,-11.096,-1,0.596532,76.9712,39.3925,[CMN2008] J164704.4-455109,251.7683333,-45.8525,,,172,X,3,    16 47 04.4,     -45 51 09,D,2008A&A...477..147C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.096001,,,,,,,,,,,,,,,,,,,,,,
1,30.7401,244.25,436.306,536.944,251.741,-45.8719,9.15947,9.15945,-10.9475,-1,0.999998,-76.7556,18.1509,2MASS J16465789-4552185,251.7412479,-45.87180345,0,0,90,*,6,16 46 57.89950,-45 52 18.4924,A,2020yCat.1350....0G,Star,*|MIR|NIR,-6.83,0.002,-2.28E-05,0,M2II-III,,0.2169,0.055,-3.272,-4.553,0.069,0.057,90,,,,,,,9.237,7.819,7.221,,,,,,0.715553,251.741,-45.8719,-10.9475,-23.95780019,3.27E+11,1949.998633,0.2169,5.607,-6.19,2.17E-04,4610.4194,0.715553202,2.17E-04,4610.419548,122.5319521,122.7221555,5.042810812,0.702672675,44.67307719,1.650045869,3.290034307,
1,28.3279,170.959,405.882,451.04,251.746,-45.8635,14.0868,7.76963,-10.8933,-1,0.551556,74.036,18.6948,Cl* Westerlund    1      W      56,251.745607,-45.863525,0.06,0.06,90,**,8,16 46 58.94568,-45 51 48.6900,C,2003yCat.2246....0C,**,*|**|NIR,,,,,,,,,,,,,,,,,,,,9.266,8.323,7.8,,,,,,0.995251,251.746,-45.8635,-10.8933,-23.90360001,3.11E+11,1922.383373,0.1298,4.183,,1.30E-04,7704.1597,0.995250645,,,,,,,,,3.283840001,
1,43.8849,237.636,382.603,288.605,251.749,-45.8476,9.27727,8.61954,-10.8545,-1,0.929103,19.6138,25.6252,Cl* Westerlund    1      W       2,251.7488233,-45.84755304,0,0,90,s*b,20,16 46 59.71758,-45 50 51.1909,A,2020yCat.1350....0G,BlueSG,*|NIR|s*b|SB*|V*,-46.06,0.46,-1.54E-04,1.50E-06,B2Ia,,0.2641,0.0439,-2.015,-3.414,0.053,0.045,90,,,,20.4,16.978,14.287,9.116,8.222,7.737,,,,,,0.456543,251.749,-45.8476,-10.8545,-23.86479977,3.01E+11,1902.854968,0.2641,3.965,,2.64E-04,3786.4448,0.456543528,2.64E-04,3786.444529,71.16281156,84.76833218,5.092485923,0.706929837,44.94373027,1.652669115,3.279405688,
1,53.5804,138.276,253.712,421.415,251.767,-45.8606,15.6282,8.15843,-10.8284,-1,0.522032,6.45539,25.958,WR  77i,251.7665117,-45.86046446,0,0,90,WR*,18,16 47 03.96281,-45 51 37.6721,A,2020yCat.1350....0G,WolfRayet*,*|C*?|LP?|NIR|V*|WR*,-63.41,2.58,-2.12E-04,8.60E-06,WC9d,,0.1011,0.0851,-2.552,-3.262,0.108,0.09,90,,,,,19.79,16.906,10.131,,,,,,,,1.313185,,,,,,,,,,,,,1.01E-04,9891.196835,,,,,,,,
1,61.9813,178.188,317.776,396.819,251.758,-45.8582,11.865,7.65248,-10.8204,-1,0.644963,-28.0848,35.6028,Cl* Westerlund    1      W      52,251.7576873,-45.85817622,0,0,90,s*b,13,16 47 01.84495,-45 51 29.4344,A,2020yCat.1350....0G,BlueSG,*|s*b|SB*|V*,-43.68,0.71,-1.46E-04,2.40E-06,B1.5Ia,,0.2689,0.056,-2.14,-3.873,0.07,0.06,90,,,,21.8,17.876,14.745,,,,,,,,,0.777777,251.758,-45.8582,-10.8204,-23.83070019,2.91E+11,1885.856286,0.2689,4.425,,2.69E-04,3718.8545,0.777777087,2.69E-04,3718.854593,78.0011227,89.39864212,5.180079119,0.714336393,45.41460904,1.65719558,3.275508594,
1,36.8859,236.001,218.987,554.563,251.772,-45.8736,8.57227,8.57227,-10.7482,-1,1,75.6457,14.5221,Cl* Westerlund    1     CN      F,251.7717144,-45.87360715,0,0,90,WR*,33,16 47 05.21146,-45 52 24.9857,A,2020yCat.1350....0G,WolfRayet*,*|SB*|V*|WR*|X,-60.5,3.51,-2.02E-04,1.17E-05,WC9d,,0.174,0.0641,-2.678,-3.787,0.08,0.067,90,,,,21.7,17.86,15.39,11.26,,,,,,,,0.72424,251.772,-45.8736,-10.7482,-23.75850037,2.73E+11,1850.364064,0.174,4.638,,1.74E-04,5747.1265,0.724240356,1.74E-04,5747.126437,126.3455152,140.083687,7.807709428,0.892523642,56.74303124,1.753912532,3.267257186,
