INDEX,ra,RA,dec,DEC,Luminosity,Mass_UMS,Mass_Luminosity,Log (M/L),Angular_Seperation
530311,83.62430593131887,83.624306,-68.69710020159856,-68.6971,354.0616317962594,5.34943909859935,0.015108779427638242,-1.820770618999998,0.8781615728834098
530311,83.6290608849054,83.62906,-68.6966544012712,-68.696655,263.9763266121192,4.918987386091727,0.018634198942087617,-1.7296892722156787,0.8762506607955491
530311,83.62953798909629,83.62954,-68.69774151478119,-68.69774,218.55330695011796,4.660633648676202,0.021324928520710662,-1.6711124158749977,0.875711467100146
530311,83.62404577333852,83.62405,-68.70041277831115,-68.70042,191.53007475506573,4.4881535638400445,0.023433153093996476,-1.6301692701230444,0.8772674563490259
530311,83.63286641517969,83.632866,-68.70173421886331,-68.70174,189.92882895838923,4.477400760794665,0.02357409765199785,-1.627564921804127,0.8730449154024265
530311,83.61718581066769,83.61719,-68.70423628016934,-68.70424,150.25828187516095,4.187490491395244,0.027868616885120087,-1.5548845847156783,0.8790606238790523
530311,83.61908823417379,83.61909,-68.70342285260266,-68.70342,225.65867592416197,4.703431975274623,0.0208431249364209,-1.6810371682466494,0.8784895115153151
530311,83.33725757939783,83.33726,-68.8245352078852,-68.82453,245.54932356832578,4.818332691695625,0.019622667338991432,-1.7072419586344842,0.949205380047913
530311,83.33002490427526,83.330025,-68.82845705321579,-68.82846,466.97180417284625,5.789678843885945,0.01239834780633337,-1.906636184708703,0.950373718948909
530311,83.62523670452872,83.62524,-68.8400492398277,-68.84005,223.82636079208504,4.692488420320422,0.020964860455732155,-1.67850802395954,0.8393401222804631
530311,83.62413218513021,83.62413,-68.84110590258875,-68.8411,235.83854444130156,4.763102624445705,0.020196455315349037,-1.694724846992464,0.8396259508458911
530311,83.62490546792236,83.62491,-68.84258275521078,-68.84258,194.68115885541025,4.509127850678595,0.023161603707257183,-1.635231373394529,0.8389187719382794
530311,83.641017917118,83.64102,-68.84349906262962,-68.8435,234.91603814820198,4.7577719263108,0.020253074093260732,-1.6935090484782342,0.8309014369197687
530311,83.63568203065418,83.63568,-68.84274093945214,-68.84274,643.2681791829824,6.344504852146364,0.009862923516914122,-2.0059943346459237,0.8336822981108702
